track_id,title,artist,genre,audio_path,lyrics_path,lyrics_source,lyrics,lyrics_file,eng_words,non_ascii_ratio,keep_english
88892,The Vagabond (No Vocals),Josh Woodward,Folk,data\fma_small\fma_small\088\088892.mp3,data\lyrics\Josh Woodward - The Vagabond _88892_.txt,genius,,,0,1.0,False
78851,Chuço,Stray,Hip-Hop,data\fma_small\fma_small\078\078851.mp3,data\lyrics\Stray - Chuço _78851_.txt,genius,,,0,1.0,False
97570,Eeze Out / Wherever the Wind Blow,E-Prosounds,Hip-Hop,data\fma_small\fma_small\097\097570.mp3,,,,,0,1.0,False
88868,But It Did,Josh Woodward,Folk,data\fma_small\fma_small\088\088868.mp3,data\lyrics\Josh Woodward - But It Did _88868_.txt,genius,,,0,1.0,False
45513,Oh mary what have you done,Plusplus,Folk,data\fma_small\fma_small\045\045513.mp3,data\whisper_transcriptions\Plusplus - Oh mary what have you done 45513.txt,whisper,,,0,1.0,False
5,This World,AWOL,Hip-Hop,data\fma_small\fma_small\000\000005.mp3,data\lyrics\AWOL - This World _5_.txt,genius,,,0,1.0,False
142666,Floridian Fighting Bear,J1*,Hip-Hop,data\fma_small\fma_small\142\142666.mp3,,,,,0,1.0,False
123509,"""Woman""",Red Trees,Pop,data\fma_small\fma_small\123\123509.mp3,,,,,0,1.0,False
43691,Nirvana,Eok,Experimental,data\fma_small\fma_small\043\043691.mp3,data\whisper_transcriptions\Eok - Nirvana 43691.txt,whisper,,,0,1.0,False
71157,Followin' Me,C-Doc,Hip-Hop,data\fma_small\fma_small\071\071157.mp3,data\whisper_transcriptions\C-Doc - Followin' Me 71157.txt,whisper,"So if you wanna come along, you gotta move to move yourself.",C-Doc - Followin' Me 71157.txt,12,0.0,False
10696,2.18.05 dai,BOPD,Hip-Hop,data\fma_small\fma_small\010\010696.mp3,data\whisper_transcriptions\BOPD - 2.18.05 dai 10696.txt,whisper,,,0,1.0,False
114396,Breathe New Life,Scott Holmes,Rock,data\fma_small\fma_small\114\114396.mp3,data\whisper_transcriptions\Scott Holmes - Breathe New Life 114396.txt,whisper,,,0,1.0,False
107029,VARIETTE (avec Jam),Alaclair Ensemble,Hip-Hop,data\fma_small\fma_small\107\107029.mp3,data\lyrics\Alaclair Ensemble - VARIETTE _107029_.txt,genius,,,0,1.0,False
11298,Now Get Busy,Beastie Boys,Hip-Hop,data\fma_small\fma_small\011\011298.mp3,data\lyrics\Beastie Boys - Now Get Busy _11298_.txt,genius,,,0,1.0,False
115735,Rage (feat Vosmoy),Still Pluto,Rock,data\fma_small\fma_small\115\115735.mp3,data\whisper_transcriptions\Still Pluto - Rage (feat Vosmoy) 115735.txt,whisper,Can you feel the rage I'm feeling Deep inside of me You can hear the pain I feel,Still Pluto - Rage (feat Vosmoy) 115735.txt,18,0.0,False
57630,Almost Alright,Noveller,Experimental,data\fma_small\fma_small\057\057630.mp3,data\whisper_transcriptions\Noveller - Almost Alright 57630.txt,whisper,,,0,1.0,False
116119,Electric Skeleton,10ksqft Werehaus,Experimental,data\fma_small\fma_small\116\116119.mp3,data\whisper_transcriptions\10ksqft Werehaus - Electric Skeleton 116119.txt,whisper,,,0,1.0,False
86263,Stay Hungry,Angstbreaker,Rock,data\fma_small\fma_small\086\086263.mp3,data\whisper_transcriptions\Angstbreaker - Stay Hungry 86263.txt,whisper,I feel like it could be failed,Angstbreaker - Stay Hungry 86263.txt,7,0.0,False
110765,Hellidays (b/w Christmas in Hollis),The Impossebulls,Hip-Hop,data\fma_small\fma_small\110\110765.mp3,,,,,0,1.0,False
113558,La voie lactée,Hazy Montagne Mystique,Experimental,data\fma_small\fma_small\113\113558.mp3,data\whisper_transcriptions\Hazy Montagne Mystique - La voie lactée 113558.txt,whisper,,,0,1.0,False
49812,Rotting Heights,Ice Age,Rock,data\fma_small\fma_small\049\049812.mp3,data\lyrics\Ice Age - Rotting Heights _49812_.txt,genius,,,0,1.0,False
141894,Descent,Gorevenge,Rock,data\fma_small\fma_small\141\141894.mp3,data\whisper_transcriptions\Gorevenge - Descent 141894.txt,whisper,"Hello, welcome, everyone. Let's go, so fight. Here we go. How about something painful to you?' One curb.",Gorevenge - Descent 141894.txt,18,0.0,False
84142,Get Away/ Parallel Sunset,Electric Mirrors,Experimental,data\fma_small\fma_small\084\084142.mp3,,,,,0,1.0,False
64627,Cassette Thing,Blank & Kytt,Hip-Hop,data\fma_small\fma_small\064\064627.mp3,data\whisper_transcriptions\Blank & Kytt - Cassette Thing 64627.txt,whisper,,,0,1.0,False
124485,Hopper's Encore,Attic Ted,Pop,data\fma_small\fma_small\124\124485.mp3,data\whisper_transcriptions\Attic Ted - Hopper's Encore 124485.txt,whisper,,,0,1.0,False
90993,Where Am I?,Mported Flows,Hip-Hop,data\fma_small\fma_small\090\090993.mp3,,,,,0,1.0,False
116447,Malaguena (live),Montana Skies,Folk,data\fma_small\fma_small\116\116447.mp3,data\whisper_transcriptions\Montana Skies - Malaguena (live) 116447.txt,whisper,,,0,1.0,False
68543,Ste 029 Crowd Noise 3,Corsica S,Experimental,data\fma_small\fma_small\068\068543.mp3,data\whisper_transcriptions\Corsica S - Ste 029 Crowd Noise 3 68543.txt,whisper,,,0,1.0,False
118000,"Anthony Donovan, Marcel Duchamp, Georges Bataille",Juan Angel Italiano,Experimental,data\fma_small\fma_small\118\118000.mp3,"data\whisper_transcriptions\Juan Angel Italiano - Anthony Donovan, Marcel Duchamp, Georges Bataille 118000.txt",whisper,We'll be right back over it.,"Juan Angel Italiano - Anthony Donovan, Marcel Duchamp, Georges Bataille 118000.txt",6,0.0,False
60736,Mexican Holiday live at the Winston,Mexican Holiday,Rock,data\fma_small\fma_small\060\060736.mp3,data\whisper_transcriptions\Mexican Holiday - Mexican Holiday live at the Winston 60736.txt,whisper,,,0,1.0,False
69830,Higher (Instrumental),The Honorable Sleaze,Hip-Hop,data\fma_small\fma_small\069\069830.mp3,data\whisper_transcriptions\The Honorable Sleaze - Higher (Instrumental) 69830.txt,whisper,,,0,1.0,False
890,Softly Tomorrow,Ilyas Ahmed,Folk,data\fma_small\fma_small\000\000890.mp3,data\whisper_transcriptions\Ilyas Ahmed - Softly Tomorrow 890.txt,whisper,,,0,1.0,False
28375,Salutation,Bomis Prendin,Experimental,data\fma_small\fma_small\028\028375.mp3,data\whisper_transcriptions\Bomis Prendin - Salutation 28375.txt,whisper,,,0,1.0,False
106522,$ecret terror,Wilted Woman,Experimental,data\fma_small\fma_small\106\106522.mp3,data\whisper_transcriptions\Wilted Woman - $ecret terror 106522.txt,whisper,,,0,1.0,False
100799,Child Was a Born,Margina,Rock,data\fma_small\fma_small\100\100799.mp3,data\whisper_transcriptions\Margina - Child Was a Born 100799.txt,whisper,Uuuu finishes Hvala što pratite kanal.,Margina - Child Was a Born 100799.txt,6,0.02631578947368421,False
48444,au courant,AlexandreDavidGabriel,Pop,data\fma_small\fma_small\048\048444.mp3,data\whisper_transcriptions\AlexandreDavidGabriel - au courant 48444.txt,whisper,,,0,1.0,False
140609,Back To It (w/ Daddy-O of Stetsasonic),The Impossebulls,Hip-Hop,data\fma_small\fma_small\140\140609.mp3,,,,,0,1.0,False
128711,Junky Magician,The Crypts!,Rock,data\fma_small\fma_small\128\128711.mp3,data\whisper_transcriptions\The Crypts! - Junky Magician 128711.txt,whisper,"Stole the stereo, I stole the TV",The Crypts! - Junky Magician 128711.txt,7,0.0,False
72790,Fatherhood,Tha Silent Partner,Hip-Hop,data\fma_small\fma_small\072\072790.mp3,data\whisper_transcriptions\Tha Silent Partner - Fatherhood 72790.txt,whisper,Take my hand child and come with me Thank you.,Tha Silent Partner - Fatherhood 72790.txt,10,0.0,False
16155,Nihilist,JJM,Pop,data\fma_small\fma_small\016\016155.mp3,data\lyrics\JJM - Nihilist _16155_.txt,genius,,,0,1.0,False
130954,Are We?,Albin Andersson,Folk,data\fma_small\fma_small\130\130954.mp3,,,,,0,1.0,False
