track_id,title,artist,genre,audio_path,lyrics_path,lyrics_source
32339,The Crap Lion,Plushgoolash,Pop,data\fma_small\fma_small\032\032339.mp3,,
88892,The Vagabond (No Vocals),Josh Woodward,Folk,data\fma_small\fma_small\088\088892.mp3,data\lyrics\Josh Woodward - The Vagabond _88892_.txt,genius
85963,"Portland Cement Factory at Monolith, CA (John Fahey) & The Harmony of Altamont (John Fahey)",Star Rover,Folk,data\fma_small\fma_small\085\085963.mp3,,
11200,Berlin Lights (Finistere),March Rosetta,Pop,data\fma_small\fma_small\011\011200.mp3,,
78851,Chuço,Stray,Hip-Hop,data\fma_small\fma_small\078\078851.mp3,data\lyrics\Stray - Chuço _78851_.txt,genius
97570,Eeze Out / Wherever the Wind Blow,E-Prosounds,Hip-Hop,data\fma_small\fma_small\097\097570.mp3,,
29721,You Can Never Escape The Underground,Codex Machine,Hip-Hop,data\fma_small\fma_small\029\029721.mp3,,
88868,But It Did,Josh Woodward,Folk,data\fma_small\fma_small\088\088868.mp3,data\lyrics\Josh Woodward - But It Did _88868_.txt,genius
45513,Oh mary what have you done,Plusplus,Folk,data\fma_small\fma_small\045\045513.mp3,,
5191,Say What You Feel,caUSE co-MOTION,Pop,data\fma_small\fma_small\005\005191.mp3,,
68844,Matty Groves,Howie Mitchell,Folk,data\fma_small\fma_small\068\068844.mp3,,
142362,"Revolution 88 (Parts 1, 2 & 3)",The Impossebulls,Hip-Hop,data\fma_small\fma_small\142\142362.mp3,,
5,This World,AWOL,Hip-Hop,data\fma_small\fma_small\000\000005.mp3,data\lyrics\AWOL - This World _5_.txt,genius
142666,Floridian Fighting Bear,J1*,Hip-Hop,data\fma_small\fma_small\142\142666.mp3,,
33278,Rails,Bing and Ruth,Experimental,data\fma_small\fma_small\033\033278.mp3,,
69303,The Subtle Body Wears a Shadow,Diamond Terrifier,Experimental,data\fma_small\fma_small\069\069303.mp3,,
123509,"""Woman""",Red Trees,Pop,data\fma_small\fma_small\123\123509.mp3,,
43691,Nirvana,Eok,Experimental,data\fma_small\fma_small\043\043691.mp3,,
39667,Your Troubles + Feelin Down,Quiet Hooves,Pop,data\fma_small\fma_small\039\039667.mp3,,
54039,Life Heart,alright lover,Pop,data\fma_small\fma_small\054\054039.mp3,,
71157,Followin' Me,C-Doc,Hip-Hop,data\fma_small\fma_small\071\071157.mp3,,
122168,Victim of Dreams,Jeremy Gluck & Jaan Patterson,Experimental,data\fma_small\fma_small\122\122168.mp3,,
148612,Superferries,Red Crickets,Pop,data\fma_small\fma_small\148\148612.mp3,,
