track_id,title,artist,genre,audio_path,lyrics_path,lyrics_source
32339,The Crap Lion,Plushgoolash,Pop,data\fma_small\fma_small\032\032339.mp3,data\whisper_transcriptions\Plushgoolash - The Crap Lion 32339.txt,whisper
88892,The Vagabond (No Vocals),Josh Woodward,Folk,data\fma_small\fma_small\088\088892.mp3,data\lyrics\Josh Woodward - The Vagabond _88892_.txt,genius
78851,Chuço,Stray,Hip-Hop,data\fma_small\fma_small\078\078851.mp3,data\lyrics\Stray - Chuço _78851_.txt,genius
97570,Eeze Out / Wherever the Wind Blow,E-Prosounds,Hip-Hop,data\fma_small\fma_small\097\097570.mp3,,
88868,But It Did,Josh Woodward,Folk,data\fma_small\fma_small\088\088868.mp3,data\lyrics\Josh Woodward - But It Did _88868_.txt,genius
45513,Oh mary what have you done,Plusplus,Folk,data\fma_small\fma_small\045\045513.mp3,data\whisper_transcriptions\Plusplus - Oh mary what have you done 45513.txt,whisper
5191,Say What You Feel,caUSE co-MOTION,Pop,data\fma_small\fma_small\005\005191.mp3,data\whisper_transcriptions\caUSE co-MOTION - Say What You Feel 5191.txt,whisper
68844,Matty Groves,Howie Mitchell,Folk,data\fma_small\fma_small\068\068844.mp3,data\whisper_transcriptions\Howie Mitchell - Matty Groves 68844.txt,whisper
5,This World,AWOL,Hip-Hop,data\fma_small\fma_small\000\000005.mp3,data\lyrics\AWOL - This World _5_.txt,genius
142666,Floridian Fighting Bear,J1*,Hip-Hop,data\fma_small\fma_small\142\142666.mp3,,
123509,"""Woman""",Red Trees,Pop,data\fma_small\fma_small\123\123509.mp3,,
43691,Nirvana,Eok,Experimental,data\fma_small\fma_small\043\043691.mp3,data\whisper_transcriptions\Eok - Nirvana 43691.txt,whisper
71157,Followin' Me,C-Doc,Hip-Hop,data\fma_small\fma_small\071\071157.mp3,data\whisper_transcriptions\C-Doc - Followin' Me 71157.txt,whisper
122168,Victim of Dreams,Jeremy Gluck & Jaan Patterson,Experimental,data\fma_small\fma_small\122\122168.mp3,data\whisper_transcriptions\Jeremy Gluck & Jaan Patterson - Victim of Dreams 122168.txt,whisper
