track_id,title,artist,genre,audio_path,lyrics_path,lyrics_source
32339,The Crap Lion,Plushgoolash,Pop,data\fma_small\fma_small\032\032339.mp3,data\whisper_transcriptions\Plushgoolash - The Crap Lion 32339.txt,whisper
11200,Berlin Lights (Finistere),March Rosetta,Pop,data\fma_small\fma_small\011\011200.mp3,data\whisper_transcriptions\March Rosetta - Berlin Lights (Finistere) 11200.txt,whisper
5191,Say What You Feel,caUSE co-MOTION,Pop,data\fma_small\fma_small\005\005191.mp3,data\whisper_transcriptions\caUSE co-MOTION - Say What You Feel 5191.txt,whisper
68844,Matty Groves,Howie Mitchell,Folk,data\fma_small\fma_small\068\068844.mp3,data\whisper_transcriptions\Howie Mitchell - Matty Groves 68844.txt,whisper
39667,Your Troubles + Feelin Down,Quiet Hooves,Pop,data\fma_small\fma_small\039\039667.mp3,data\whisper_transcriptions\Quiet Hooves - Your Troubles + Feelin Down 39667.txt,whisper
71157,Followin' Me,C-Doc,Hip-Hop,data\fma_small\fma_small\071\071157.mp3,data\whisper_transcriptions\C-Doc - Followin' Me 71157.txt,whisper
122168,Victim of Dreams,Jeremy Gluck & Jaan Patterson,Experimental,data\fma_small\fma_small\122\122168.mp3,data\whisper_transcriptions\Jeremy Gluck & Jaan Patterson - Victim of Dreams 122168.txt,whisper
148612,Superferries,Red Crickets,Pop,data\fma_small\fma_small\148\148612.mp3,data\whisper_transcriptions\Red Crickets - Superferries 148612.txt,whisper
145610,Wolves,The One They Fear,Rock,data\fma_small\fma_small\145\145610.mp3,data\whisper_transcriptions\The One They Fear - Wolves 145610.txt,whisper
129090,Happy Halloween,The Vivisectors,Rock,data\fma_small\fma_small\129\129090.mp3,data\whisper_transcriptions\The Vivisectors - Happy Halloween 129090.txt,whisper
130372,Like a Glove,TransFX,Pop,data\fma_small\fma_small\130\130372.mp3,data\whisper_transcriptions\TransFX - Like a Glove 130372.txt,whisper
13804,Life's A Beach,The Professional Savage,Hip-Hop,data\fma_small\fma_small\013\013804.mp3,data\whisper_transcriptions\The Professional Savage - Life's A Beach 13804.txt,whisper
115735,Rage (feat Vosmoy),Still Pluto,Rock,data\fma_small\fma_small\115\115735.mp3,data\whisper_transcriptions\Still Pluto - Rage (feat Vosmoy) 115735.txt,whisper
