track_id,title,artist,genre,audio_path,lyrics_path,lyrics_source,lyrics,lyrics_file,eng_words,non_ascii_ratio,keep_english
32339,The Crap Lion,Plushgoolash,Pop,data\fma_small\fma_small\032\032339.mp3,data\whisper_transcriptions\Plushgoolash - The Crap Lion 32339.txt,whisper,Not wrong He crawls Round my feet And he sits On my knee Everyone Coexists with him Happily He's just a cat But he's just Not the same And that Is because of his Really,Plushgoolash - The Crap Lion 32339.txt,35,0.0,True
5191,Say What You Feel,caUSE co-MOTION,Pop,data\fma_small\fma_small\005\005191.mp3,data\whisper_transcriptions\caUSE co-MOTION - Say What You Feel 5191.txt,whisper,"The one who tried to say, what you feel, it's okay The one who tried to say, what you feel, it's okay The one who tried to say",caUSE co-MOTION - Say What You Feel 5191.txt,28,0.0,True
68844,Matty Groves,Howie Mitchell,Folk,data\fma_small\fma_small\068\068844.mp3,data\whisper_transcriptions\Howie Mitchell - Matty Groves 68844.txt,whisper,"Lord Arling called his merry men, he bade them with him go. And he bound them ne'er a word to say and ne'er a horn to blow. But among Lord Arling's merry men were those who wish no ill. The bravest one he blew a blast, a blast so loud, so shrill. What's this, what's this, cried the little man he grows. The horn.",Howie Mitchell - Matty Groves 68844.txt,64,0.0,True
122168,Victim of Dreams,Jeremy Gluck & Jaan Patterson,Experimental,data\fma_small\fma_small\122\122168.mp3,data\whisper_transcriptions\Jeremy Gluck & Jaan Patterson - Victim of Dreams 122168.txt,whisper,"Old furniture in clothes, contents of floors, pictures on the walls, everything became still. Nothing aged nor was renewed. All the furniture came from Corvus, dated and dusty by degrees. The other room, the old, old drawer. The truth is, school for my life is our grandest of big dust. I am untouched since, my mother's hand, unable anymore. I am untouched, my Lord, with me back in the torn its love.",Jeremy Gluck & Jaan Patterson - Victim of Dreams 122168.txt,72,0.0,True
148612,Superferries,Red Crickets,Pop,data\fma_small\fma_small\148\148612.mp3,data\whisper_transcriptions\Red Crickets - Superferries 148612.txt,whisper,"Are we still here, or am I just dreaming? She'd been gone for a while I saw the needles, I saw the rinds",Red Crickets - Superferries 148612.txt,23,0.0,True
145610,Wolves,The One They Fear,Rock,data\fma_small\fma_small\145\145610.mp3,data\whisper_transcriptions\The One They Fear - Wolves 145610.txt,whisper,"Replace by shackles of death Now pay attention Look in your children's eyes You'll see that future Listen, witness, say You realize what you've done",The One They Fear - Wolves 145610.txt,25,0.0,True
130372,Like a Glove,TransFX,Pop,data\fma_small\fma_small\130\130372.mp3,data\whisper_transcriptions\TransFX - Like a Glove 130372.txt,whisper,You know I wouldn't change things It seems like a girl It's so I don't know where to But it seems so out of place And that time was a friend I'd rather,TransFX - Like a Glove 130372.txt,33,0.0,True
13804,Life's A Beach,The Professional Savage,Hip-Hop,data\fma_small\fma_small\013\013804.mp3,data\whisper_transcriptions\The Professional Savage - Life's A Beach 13804.txt,whisper,"You fucking filthy cunts cause me to fuck you up next time, you understand? So fucking shit there talking to me about different cultures I'm not interested enough in a different block damn blue eyes",The Professional Savage - Life's A Beach 13804.txt,35,0.0,True
96403,Wrong or Right,Insane Ride,Rock,data\fma_small\fma_small\096\096403.mp3,data\whisper_transcriptions\Insane Ride - Wrong or Right 96403.txt,whisper,"You try to change me all my life Like it was a sin That someone's not like you But we hide more within More within More within More, more, more, more Yeah, more within Since what do you have right? Say what is wrong or what's right? That's how you spend every day Judging what I",Insane Ride - Wrong or Right 96403.txt,56,0.0,True
85422,Bicentennial Bridge,Orange Peels,Pop,data\fma_small\fma_small\085\085422.mp3,data\whisper_transcriptions\Orange Peels - Bicentennial Bridge 85422.txt,whisper,"My chefs, scared of my bums, we're all out of time, taking our chances, too far, too wide. My chefs, scared of my bums, we're all out of time, taking our chances, too far, too wide.",Orange Peels - Bicentennial Bridge 85422.txt,36,0.0,True
122352,Lover,David Mumford,Folk,data\fma_small\fma_small\122\122352.mp3,data\whisper_transcriptions\David Mumford - Lover 122352.txt,whisper,I don't want to waste no more of your precious time I don't want to say that everything will be fine I don't want to feel your tears on my side,David Mumford - Lover 122352.txt,31,0.0,True
88960,Queen (Mugl Remix),TIGERBERRY,Rock,data\fma_small\fma_small\088\088960.mp3,data\whisper_transcriptions\TIGERBERRY - Queen (Mugl Remix) 88960.txt,whisper,"Days and days, we waste the haze Imagine the place we wanna go to In a shell, where is all my face? Cause I was here, I almost wanted to Don't take me alone, don't leave me by We all know that I'm feeling fine Three faces, left side I'm alright",TIGERBERRY - Queen (Mugl Remix) 88960.txt,51,0.0,True
