method,k,silhouette,calinski_harabasz
PCA(8) + KMeans,2,0.25023967027664185,1644.2394340777075
VAE_latent + KMeans,2,0.3113095164299011,1970.1191012811098
PCA(8) + KMeans,3,0.24458090960979462,1380.0859107972308
VAE_latent + KMeans,3,0.350260466337204,2327.9533564942794
PCA(8) + KMeans,4,0.21509483456611633,1219.0228904127416
VAE_latent + KMeans,4,0.3204483985900879,2097.74916940562
PCA(8) + KMeans,5,0.16583912074565887,1058.0162745024704
VAE_latent + KMeans,5,0.28400835394859314,1920.389174495314
PCA(8) + KMeans,6,0.15950635075569153,956.3900766344823
VAE_latent + KMeans,6,0.2737097442150116,1827.628873732903
PCA(8) + KMeans,8,0.13885509967803955,800.0023215416375
VAE_latent + KMeans,8,0.2760421633720398,1699.0610048163007
PCA(8) + KMeans,10,0.1280621588230133,690.4578376929527
VAE_latent + KMeans,10,0.2740589380264282,1608.8992175975577
