representation,clusterer,silhouette,davies_bouldin,calinski_harabasz,n_clusters,noise,ari
PCA(8) on MFCC,KMeans(k=2),0.24873441457748413,1.4583930978585322,598.5210818391874,2,0,0.08247283164653381
PCA(8) on MFCC,KMeans(k=3),0.25672876834869385,1.3719932567137547,561.9855448006247,3,0,0.2211371728808751
PCA(8) on MFCC,KMeans(k=4),0.235381081700325,1.389961744735352,492.48180214598136,4,0,0.2049318210372024
PCA(8) on MFCC,KMeans(k=5),0.2102924883365631,1.4422045213331158,423.9301510822837,5,0,0.1851335346615564
PCA(8) on MFCC,KMeans(k=6),0.1675768494606018,1.5974480436773721,379.38347533538433,6,0,0.19049857485280733
PCA(8) on MFCC,Agglomerative(k=2),0.21580365300178528,1.4906826944723448,512.2889928150802,2,0,0.09508506717913777
PCA(8) on MFCC,Agglomerative(k=3),0.23521018028259277,1.4904776462764842,497.79872659807444,3,0,0.21259012868304003
PCA(8) on MFCC,Agglomerative(k=4),0.22690841555595398,1.5068202715351642,412.88585382224363,4,0,0.19597338837411532
PCA(8) on MFCC,Agglomerative(k=5),0.1744517832994461,1.7803055211097782,349.30366942769,5,0,0.16400059360243613
PCA(8) on MFCC,Agglomerative(k=6),0.11610767990350723,1.8111112555825644,314.211743373501,6,0,0.17075909916207455
PCA(8) on MFCC,"DBSCAN(eps=0.5,min_samples=10)",,,,0,1489,
PCA(8) on MFCC,"DBSCAN(eps=0.8,min_samples=10)",,,,0,1489,
PCA(8) on MFCC,"DBSCAN(eps=1.2,min_samples=10)",,,,0,1489,
DenseVAE latent,KMeans(k=2),0.31981778144836426,1.6212330017254655,185.76476279840563,2,0,-0.0004469229773014926
DenseVAE latent,KMeans(k=3),0.2603829801082611,1.5218835681617489,219.05033312612906,3,0,0.0007869891573618601
DenseVAE latent,KMeans(k=4),0.2543639838695526,1.188719406108107,284.2479872424607,4,0,0.0007291309247873328
DenseVAE latent,KMeans(k=5),0.23039542138576508,1.141259247996224,303.27934564851637,5,0,-0.001987725351664951
DenseVAE latent,KMeans(k=6),0.23350681364536285,1.068395187227044,281.7436794628499,6,0,-0.0018326326011756542
DenseVAE latent,Agglomerative(k=2),0.8721635937690735,0.27705610029404937,241.01626707451842,2,0,0.0006247970423879259
DenseVAE latent,Agglomerative(k=3),0.4612170457839966,0.9307415172081375,235.75000010539992,3,0,-0.001063209491830522
DenseVAE latent,Agglomerative(k=4),0.32768529653549194,1.079659951219707,246.77976082726153,4,0,-0.004823306944211616
DenseVAE latent,Agglomerative(k=5),0.1935495287179947,1.1942673228300769,257.5694983099552,5,0,-0.00573774478840008
DenseVAE latent,Agglomerative(k=6),0.18239563703536987,1.23492682770846,259.8298414318284,6,0,-0.00301085226524635
DenseVAE latent,"DBSCAN(eps=0.5,min_samples=10)",-0.21294280886650085,3.6437006032321193,19.12969716397259,2,1007,-0.000828680170144777
DenseVAE latent,"DBSCAN(eps=0.8,min_samples=10)",,,,1,353,
DenseVAE latent,"DBSCAN(eps=1.2,min_samples=10)",,,,1,154,
ConvVAE latent,KMeans(k=2),0.22624920308589935,1.6503314474191655,416.37322155201537,2,0,0.07632731117585964
ConvVAE latent,KMeans(k=3),0.17608605325222015,1.711122845899312,345.21909839712464,3,0,0.09119862604051264
ConvVAE latent,KMeans(k=4),0.18474118411540985,1.661826171482929,296.7473254492647,4,0,0.07128082449795195
ConvVAE latent,KMeans(k=5),0.17576608061790466,1.537668202754416,291.7330572369356,5,0,0.11175768786303873
ConvVAE latent,KMeans(k=6),0.16154222190380096,1.5075181366929227,269.2837077564733,6,0,0.13268613297019796
ConvVAE latent,Agglomerative(k=2),0.24745763838291168,1.6939403568199358,336.52944070683367,2,0,0.0435368102032226
